id,sender_surname,sender_forename,recipient_surname,recipient_forename,sorting_date,date,sender_address,recipient_address,source,languages, extent, filename
RS-LP-001001,"Schlosser","Jan Albert","Collinson","Peter",1763-09-22,"22 September 1763","","","L&P/4/200, Royal Society","","","RS-LP-001001.xml"
RS-MM-001001,"Sprengel","Hermann Johann Phillipp","Abel","Frederick Augustus",1892-06-15,"15 June 1892","","","MM/16/5, Royal Society","","","RS-MM-001001.xml"
RS-LP-001002,"Day","Mark","Birch","Thomas",1764-04-03,"3 April 1764","","","L&P/4/206, Royal Society","","","RS-LP-001002.xml"
RS-MM-001002,"Sprengel","Hermann Johann Phillipp","Strutt","John William",1892-11-16,"16 November 1892","","","MM/16/8, Royal Society","","","RS-MM-001002.xml"
RS-LP-001003,"Howard","John","Canton","John",1764-04-12,"12 April 1764","","","L&P/4/207, Royal Society","","","RS-LP-001003.xml"
RS-MM-001003,"Abel","Frederick Augustus","Strutt","John William",1892-11-23,"23 November 1892","","","MM/16/10, Royal Society","","","RS-MM-001003.xml"
RS-LP-001004,"Spry","Edward","Douglas","James",1764-04-12,"12 April 1764","","","L&P/4/208, Royal Society","","","RS-LP-001004.xml"
RS-MM-001004,"Abel","Frederick Augustus","Sprengel","Hermann Johann Phillipp",1892-12-13,"13 December 1892","","","MM/16/11, Royal Society","","","RS-MM-001004.xml"
RS-LP-001005,"Wilkinson","John","Baker","Henry",1764-03-29,"29 March 1764","","","L&P/4/209, Royal Society","","","RS-LP-001005.xml"
RS-MM-001005,"Foster","George Carey","Strutt","John William",1892-12-24,"24 December 1892","","","MM/16/12, Royal Society","","","RS-MM-001005.xml"
RS-LP-001006,"Spiering","J P","Costa","Emanuel Mendes da",1763-12-19,"19 December 1763","","","L&P/4/210, Royal Society","","","RS-LP-001006.xml"
RS-MM-001006,"Sprengel","Hermann Johann Phillipp","Abel","Frederick Augustus",1893-02-20,"20 February 1893","","","MM/16/13, Royal Society","","","RS-MM-001006.xml"
RS-LP-001007,"Mayer","Christian","Douglas","James",1764-05-03,"3 May 1764","","","L&P/4/213, Royal Society","","","RS-LP-001007.xml"
RS-MM-001007,"Foster","George Carey","Abel","Frederick Augustus",1893-03-13,"13 March 1893","","","MM/16/14, Royal Society","","","RS-MM-001007.xml"
RS-MM-001008,"Sprengel","Hermann Johann Phillipp","Abel","Frederick Augustus",1893-05-17,"17 May 1893","","","MM/16/15, Royal Society","","","RS-MM-001008.xml"
RS-LP-001008,"","","Parker","George",1764-02-02,"2 February 1764","","","L&P/4/214, Royal Society","","","RS-LP-001008.xml"
RS-MM-001009,"Berthelot","Pierre Eugene Marcellin","President and Council of the Royal Society","",1877-01-01,"1877","","","MM/16/17, Royal Society","","","RS-MM-001009.xml"
RS-LP-001009,"Butt","John Martin","Lyttelton","Charles",1763-10-10,"10 October 1763","","","L&P/4/216, Royal Society","","","RS-LP-001009.xml"
RS-LP-001010,"","","","",1764-06-05,"5 June 1764","","","L&P/4/221, Royal Society","","","RS-LP-001010.xml"
RS-MM-001010,"Bradford","John Rose","Royal Society","",1898-07-04,"4 July 1898","","","MM/16/22, Royal Society","","","RS-MM-001010.xml"
RS-LP-001011,"Clap","Thomas","Pringle","John",1763-03-01,"1 March 1763","","","L&P/4/222, Royal Society","","","RS-LP-001011.xml"
RS-MM-001011,"Foster","Michael","Foster","Michael",1898-08-28,"28 August 1898","","","MM/16/24, Royal Society","","","RS-MM-001011.xml"
RS-LP-001012,"Ferguson","Thomas","","",1764-01-01,"1764","","","L&P/4/224, Royal Society","","","RS-LP-001012.xml"
RS-MM-001012,"Foster","Michael","Michael Foster","Secretary, Royal Society",1898-11-19,"19 November 1898","","","MM/16/26, Royal Society","","","RS-MM-001012.xml"
RS-LP-001013,"Watson","William","Parker","George",1764-06-26,"26 June 1764","","","L&P/4/226, Royal Society","","","RS-LP-001013.xml"
RS-MM-001013,"Thomson","William","Stokes","George Gabriel",1882-04-15,"15 April 1882","","","MM/16/32, Royal Society","","","RS-MM-001013.xml"
RS-LP-001014,"Morgan","John","","",1764-05-27,"27 May 1764","","","L&P/4/228, Royal Society","","","RS-LP-001014.xml"
RS-MM-001014,"Oliver","Francis Wall","Russell","Edward John",1949-05-17,"17 May 1949","","","MM/16/35, Royal Society","","","RS-MM-001014.xml"
RS-LP-001015,"","","Royal Society","",1764-11-08,"8 November 1764","","","L&P/4/230, Royal Society","","","RS-LP-001015.xml"
RS-MM-001015,"Oliver","Francis Wall","Russell","Edward John",1949-06-24,"24 June 1949","","","MM/16/36, Royal Society","","","RS-MM-001015.xml"
RS-LP-001016,"Towers","James","Royal Society","",1764-09-26,"26 September 1764","","","L&P/4/231, Royal Society","","","RS-LP-001016.xml"
RS-MM-001016,"Hooke","Robert","Ball","William",1682-03-28,"28 Mar 1682","","","MM/16/40, Royal Society","","","RS-MM-001016.xml"
RS-LP-001017,"Beavess","Edward","Royal Society","",1764-11-15,"15 November 1764","","","L&P/4/232, Royal Society","","","RS-LP-001017.xml"
RS-MM-001017,"Voltaire","Francois Marie Arouet de","Folkes","Martin",1743-03-29,"29 March 1743","","","MM/16/41, Royal Society","","","RS-MM-001017.xml"
RS-MM-001018,"Bower","Frederick Orpen","Dixon","Henry Horatio",1928-03-10,"10 March 1928","","","MM/16/42, Royal Society","","","RS-MM-001018.xml"
RS-LP-001018,"Gray","Isaac","Templeman","",1764-08-29,"29 August 1764","","","L&P/4/234, Royal Society","","","RS-LP-001018.xml"
RS-MM-001019,"Bower","Frederick Orpen","Dixon","Henry Horatio",1946-09-22,"22 September 1946","","","MM/16/43, Royal Society","","","RS-MM-001019.xml"
RS-LP-001019,"Malves","Jean Paul de Gua de","","",1764-07-26,"26 July 1764","","","L&P/4/235, Royal Society","","","RS-LP-001019.xml"
