id,sender_surname,sender_forename,recipient_surname,recipient_forename,sorting_date,date,sender_address,recipient_address,source,languages, extent, filename
FL-0701,"Darwin","Emma","Darwin","H. E.",1868-09-01,"[September 1868]","Down","","DAR 219.9: 62","","","FL-0701.xml"
FL-0702,"Darwin","Emma","Darwin","H. E.",1868-12-01,"[December 1868]","Down","","DAR 219.9: 63","","","FL-0702.xml"
FL-0703,"Darwin","Emma","Darwin","H. E.",1869-03-01,"[spring 1869]","","","DAR 219.9: 64","","","FL-0703.xml"
FL-0704,"Darwin","Emma","Darwin","H. E.",1868-01-01,"[1868 or 1869]","Down","","DAR 219.9: 65","","","FL-0704.xml"
FL-0705,"Darwin@","Emma","Darwin","H. E.",1868-01-01,"[1868 or 1869]","","","DAR 219.9: 66","","","FL-0705.xml"
FL-0706,"Darwin","Emma","Darwin","H. E.",1869-01-11,"[11 January 1869]","Down","","DAR 219.9: 67","","","FL-0706.xml"
FL-0707,"Darwin","Emma","Darwin","H. E.",1870-01-01,"[January 1870]","Down","","DAR 219.9: 68","","","FL-0707.xml"
FL-0708,"Darwin","Emma","Darwin","H. E.",1870-01-01,"[January 1870]","Down","","DAR 219.9: 69","","","FL-0708.xml"
FL-0709,"Darwin","Emma","Darwin","H. E.",1870-01-24,"[24 January 1870]","Down","","DAR 219.9: 70","","","FL-0709.xml"
FL-0710,"Darwin","Emma","Darwin","H. E.",1870-02-04,"[4 February 1870]","","","DAR 219.9: 71","","","FL-0710.xml"
FL-0711,"Darwin","Emma","Darwin","H. E.",1870-02-08,"[8 February 1870]","Down","","DAR 219.9: 72","","","FL-0711.xml"
FL-0712,"Darwin","Emma","Darwin","H. E.",1870-02-11,"11 February [1870]","Down","","DAR 219.9 73","","","FL-0712.xml"
FL-0713,"Darwin","Emma","Darwin","H. E.",1870-02-21,"21 February [1870]","Down","","DAR 219.9: 74","","","FL-0713.xml"
FL-0714,"Darwin","Emma","Darwin","H. E.",1870-01-01,"[1870]","","","DAR 219.9: 75","","","FL-0714.xml"
FL-0715,"Darwin","Emma","Darwin","H. E.",1870-02-01,"[February? 1870]","Down","","DAR 219.9: 76","","","FL-0715.xml"
FL-0716,"Darwin","Francis","Darwin","H. E.",1870-03-01,"[spring 1870]","","","DAR 219.9: 77","","","FL-0716.xml"
FL-0717,"Darwin","Emma","Darwin","H. E.",1870-03-07,"[7 March 1870]","Down","","DAR 219.9: 78","","","FL-0717.xml"
FL-0718,"Darwin","Emma","Darwin","H. E.",1870-03-01,"[March 1870]","Q. A. St","","DAR 219.9: 79","","","FL-0718.xml"
